cap_id,school_name,subjectcluster,degree_name,subjectdegreecluster
1385,university-of-southern-california-school-of-social-work,1,masters,13
1387,simmons-university,1,masters,13
1389,university-of-denver,1,masters,13
1391,fordham-university,1,masters,13
1393,simmons-university-school-of-nursing,1,masters,13
1397,university-of-southern-california-online,1,masters,13
1399,our-lady-of-the-lake-university,1,masters,13
1431,brandman-university,1,masters,13
1457,benedictine-university,1,masters,13
1459,queens-university-of-charlotte,1,masters,13
1461,seton-hall-university,1,masters,13
1463,widener-university-online,1,masters,13
1467,university-of-southern-california-online,1,masters,13
1471,communications-syracuse,1,masters,13
1473,university-of-dayton,1,masters,13
1475,unc-school-of-government,1,masters,13
1479,datascience-smu,1,masters,13
1491,syracuse-university-school-of-information-studies-ischool,1,masters,13
1493,syracuse-university-school-of-information-studies-ischool,1,masters,13
1495,university-of-dayton,1,masters,13
1497,benedictine-university,1,masters,13
1501,sacred-heart-university,1,masters,13
1503,saint-marys-university-minnesota,1,masters,13
1505,the-university-of-scranton,1,masters,13
1511,george-washington-university,1,masters,13
1517,nyu,1,masters,13
1521,university-of-southern-california-online,1,masters,13
1523,accounting-syracuse,1,masters,13
1539,psychology-pepperdine,1,masters,13
1581,business-analytics-syracuse,1,masters,13
1601,ohio-university,1,masters,13
1613,northeastern-university,1,masters,13
1623,capella-university,1,masters,13
1695,fordham-university,1,masters,13
1697,university-of-southern-california-school-of-social-work,1,masters,13
1699,simmons-university,1,masters,13
1701,university-of-denver,1,masters,13
1705,syracuse-university,1,masters,13
1707,university-of-dayton-mba,1,masters,13
1709,university-of-denver,1,masters,13
1715,mba-american,1,masters,13
1717,washington-university-school-of-law,1,masters,13
1719,unc-gillings-school-of-global-public-health,1,masters,13
1721,unc-gillings-school-of-global-public-health,1,masters,13
1723,george-washington-university,1,masters,13
1737,syracuse-university-college-of-engineering-and-computer-science,1,masters,13
1743,simmons-university-mph,1,masters,13
1755,georgetown-university-school-of-continuing-studies,1,masters,13
1757,usc-price-school-of-public-policy,1,masters,13
1763,vanderbilt-university,1,masters,13
1791,unc-gillings-school-of-global-public-health,1,masters,13
1793,university-of-denver,1,masters,13
1795,johns-hopkins-university,1,masters,13
1805,data-science-syracuse,1,masters,13
1809,ohio-university,1,masters,13
1815,university-of-california-berkeley,1,masters,13
1823,george-washington-university-school-of-medicine-health-sciences,1,masters,13
1827,nyu,1,masters,13
1835,communications-syracuse,1,masters,13
1837,northwestern-university,1,masters,13
1847,syracuse-university-school-of-information-studies-ischool,1,masters,13
1849,american-university-online,1,masters,13
1853,syracuse-university,1,masters,13
1855,american-university-school-of-international-service,1,masters,13
1857,mba-american,1,masters,13
1859,university-of-denver,1,masters,13
1863,university-of-dayton-mba,1,masters,13
1871,university-of-north-carolina,1,masters,13
1881,university-of-dayton-mba,1,masters,13
1883,mba-american,1,masters,13
1891,regis-college,1,masters,13
1893,london-school-of-economics-and-political-science,1,masters,13
1905,louisiana-state-university-shreveport,1,masters,13
1909,arkansas-state-university,1,masters,13
1911,msw-baylor,1,masters,13
1913,msw-baylor,1,masters,13
1915,msw-baylor,1,masters,13
1917,mph-baylor,1,masters,13
1919,mph-baylor,1,masters,13
1921,mph-baylor,1,masters,13
1977,emerson-college,1,masters,13
1979,brandman-university,1,masters,13
1985,pepperdine-university-graziadio-business-school,1,masters,13
1987,full-sail-university,1,masters,13
1989,full-sail-university,1,masters,13
2001,unc-gillings-school-of-global-public-health,1,masters,13
2003,unc-gillings-school-of-global-public-health,1,masters,13
2005,george-washington-university,1,masters,13
2007,syracuse-university-college-of-engineering-and-computer-science,1,masters,13
2009,syracuse-university-college-of-engineering-and-computer-science,1,masters,13
2017,george-washington-university,1,masters,13
2019,george-washington-university,1,masters,13
2021,george-washington-university,1,masters,13
2023,mph-baylor,1,masters,13
2025,simmons-university-school-of-nursing,1,masters,13
2027,american-university-school-of-international-service,1,masters,13
2029,american-university-washington-college-of-law,1,masters,13
2031,psychology-pepperdine,1,masters,13
2037,tufts-university,1,masters,13
2045,maryville-university,1,masters,13
2051,pepperdine-university-graziadio-business-school,1,masters,13
2097,datascience-denver,1,masters,13
2101,maryville-university,1,masters,13
2119,analytics-dayton,1,masters,13
2157,simmons-university-school-of-nursing,1,masters,13
2159,university-of-southern-california-online,1,masters,13
2165,georgetown-university,1,masters,13
2171,regis-college,1,masters,13
2187,washington-university-school-of-law,1,masters,13
2195,our-lady-of-the-lake-university,1,masters,13
2201,speech-baylor,1,masters,13
2203,university-of-southern-california,1,masters,13
2211,rider-university,1,masters,13
2219,university-of-denver,1,masters,13
2237,pepperdine-university-graziadio-business-school,1,masters,13
2243,fordham-university-gabelli-school-of-business,1,masters,13
2247,george-mason-university,1,masters,13
2251,university-of-illinois-at-chicago,1,masters,13
2253,pepperdine-university-graziadio-business-school,1,masters,13
2257,pepperdine-university-graziadio-business-school,1,masters,13
2259,pepperdine-university-graziadio-business-school,1,masters,13
2263,rice-university-jones-graduate-school-of-business,1,masters,13
2265,samuel-merritt-university,1,masters,13
2267,brenau-university,1,masters,13
2269,syracuse-university-college-of-engineering-and-computer-science,1,masters,13
2279,pepperdine-university-graziadio-business-school,1,masters,13
2295,syracuse-university-empa,1,masters,13
2303,michigan-state-university,1,masters,13
2309,fordham-law,1,masters,13
2313,ucl,1,masters,13
2319,accounting-syracuse,1,masters,13
2321,syracuse-university-college-of-engineering-and-computer-science,1,masters,13
2327,northwestern-university,1,masters,13
2331,northwestern-university,1,masters,13
2333,data-science-syracuse,1,masters,13
2335,datascience-denver,1,masters,13
2339,datascience-smu,1,masters,13
2349,fordham-university,1,masters,13
2351,university-of-southern-california-online,1,masters,13
2353,tufts-university,1,masters,13
2355,tufts-university,1,masters,13
2357,american-university-school-of-international-service,1,masters,13
2359,university-of-north-carolina,1,masters,13
2361,psychology-pepperdine,1,masters,13
2363,psychology-pepperdine,1,masters,13
2365,simmons-university-school-of-nursing,1,masters,13
2367,georgetown-university,1,masters,13
2369,georgetown-university,1,masters,13
2371,psychology-pepperdine,1,masters,13
2373,psychology-pepperdine,1,masters,13
2375,msw-baylor,1,masters,13
2377,msw-baylor,1,masters,13
2379,university-of-denver,1,masters,13
2381,university-of-denver,1,masters,13
2383,fordham-university,1,masters,13
2385,fordham-university,1,masters,13
2387,simmons-university,1,masters,13
2389,simmons-university,1,masters,13
2391,university-of-southern-california-school-of-social-work,1,masters,13
2393,university-of-southern-california-school-of-social-work,1,masters,13
2407,university-of-cincinnati-online,1,masters,13
2409,university-of-cincinnati-online,1,masters,13
2413,university-of-cincinnati-online,1,masters,13
2415,university-of-cincinnati-online,1,masters,13
2417,university-of-cincinnati-online,1,masters,13
2419,university-of-cincinnati-online,1,masters,13
2421,university-of-cincinnati-online,1,masters,13
2423,university-of-cincinnati-online,1,masters,13
2427,uc-davis-graduate-school-of-management,1,masters,13
2429,uc-davis-graduate-school-of-management,1,masters,13
2431,uc-davis-graduate-school-of-management,1,masters,13
2433,uc-davis-graduate-school-of-management,1,masters,13
2437,university-of-kentucky,1,masters,13
2443,usc-price-school-of-public-policy,1,masters,13
2453,university-of-dayton,1,masters,13
2457,fordham-university-gabelli-school-of-business,1,masters,13
2467,walden-international,1,masters,13
2469,point-park-university,1,masters,13
2471,point-park-university,1,masters,13
2481,point-park-university,1,masters,13
2483,vanderbilt-university-school-of-engineering,1,masters,13
2485,vanderbilt-university-school-of-engineering,1,masters,13
2487,vanderbilt-university-school-of-engineering,1,masters,13
2489,vanderbilt-university-school-of-engineering,1,masters,13
2503,aurora-university,1,masters,13
2507,aurora-university,1,masters,13
2509,aurora-university,1,masters,13
2511,malone-university,1,masters,13
2515,malone-university,1,masters,13
2519,malone-university,1,masters,13
2527,tufts-university-school-of-medicine,1,masters,13
2529,los-angeles-pacific-university,1,masters,13
2533,norwich-university,1,masters,13
2535,egade-business-school-at-tecnolgico-de-monterrey,1,masters,13
2561,university-of-cincinnati-online,1,masters,13
2569,university-of-the-southwest,1,masters,13
2585,loyola-marymount-university,1,masters,13
2589,duquesne-university,1,masters,13
2593,campbellsville-university,1,masters,13
2595,campbellsville-university,1,masters,13
2607,university-of-west-alabama,1,masters,13
2609,rivier-university,1,masters,13
2613,rivier-university,1,masters,13
2615,university-of-cincinnati-online,1,masters,13
2617,university-of-cincinnati-online,1,masters,13
2635,case-western-reserve-university,1,masters,13
2637,case-western-reserve-university,1,masters,13
2639,case-western-reserve-university,1,masters,13
2641,case-western-reserve-university,1,masters,13
2647,case-western-reserve-university,1,masters,13
2717,fordham-law,1,masters,13
2857,brandman-university,1,masters,13
2863,accounting-syracuse,1,masters,13
2867,george-washington-university,1,masters,13
2875,university-of-southern-california-online,1,masters,13
2877,mph-baylor,1,masters,13
2879,mph-baylor,1,masters,13
2881,nyu,1,masters,13
2883,syracuse-university-college-of-engineering-and-computer-science,1,masters,13
2885,syracuse-university-college-of-engineering-and-computer-science,1,masters,13
2887,unc-gillings-school-of-global-public-health,1,masters,13
2889,unc-gillings-school-of-global-public-health,1,masters,13
2891,pepperdine-university-online,1,masters,13
2893,washington-university-school-of-law,1,masters,13
2895,simmons-university-behavior-analysis,1,masters,13
2949,louisiana-state-university-shreveport,1,masters,13
2971,psychology-pepperdine,1,masters,13
2997,msw-baylor,1,masters,13
2999,case-western-reserve-university,1,masters,13
3001,university-of-denver,1,masters,13
3003,fordham-university,1,masters,13
3005,simmons-university,1,masters,13
3019,utica-college,1,masters,13
3039,university-of-alabama-at-birmingham,1,masters,13
3137,southern-new-hampshire-university,1,masters,13
3141,university-of-st-augustine,1,masters,13
3155,university-of-north-dakota,1,masters,13
3171,carson-newman-university,1,masters,13
3173,washington-state-university,1,masters,13
3175,university-of-louisville-online,1,masters,13
3187,nyu,1,masters,13
3193,university-of-st-augustine,1,masters,13
3201,mph-baylor,1,masters,13
3223,northwest-missouri-state-university,1,masters,13
3233,vanderbilt-university-school-of-engineering,1,masters,13
3235,unc-gillings-school-of-global-public-health,1,masters,13
3267,spring-arbor-university,1,masters,13
3291,fordham-university-gabelli-school-of-business,1,masters,13
3293,vanderbilt-university-school-of-engineering,1,masters,13
3295,nyu,1,masters,13
3297,university-of-southern-california-school-of-social-work,1,masters,13
3301,university-of-denver,1,masters,13
3303,american-university-washington-college-of-law,1,masters,13
3307,vanderbilt-university-school-of-engineering,1,masters,13
3311,colorado-state-university-global-campus,1,masters,13
3319,university-of-nevada-reno,1,masters,13
3321,brandman-university,1,masters,13
3323,western-governors-university,1,masters,13
3333,university-of-cincinnati-online,1,masters,13
3343,university-of-southern-california-online,1,masters,13
3345,johns-hopkins-university,1,masters,13
3347,western-governors-university,1,masters,13
3369,tufts-university-education,1,masters,13
3371,tufts-university-education,1,masters,13
3373,tufts-university-education,1,masters,13
3385,university-of-maryland,1,masters,13
3389,university-of-alabama-at-birmingham,1,masters,13
3393,ohio-university,1,masters,13
3399,southern-new-hampshire-university,1,masters,13
3409,simmons-university-mph,1,masters,13
3411,simmons-university-mph,1,masters,13
3415,university-of-nevada-reno,1,masters,13
3417,rider-university,1,masters,13
3419,western-governors-university,1,masters,13
3421,western-governors-university,1,masters,13
3429,fordham-university-gabelli-school-of-business,1,masters,13
3445,university-of-cincinnati-online,1,masters,13
3465,university-of-southern-california-school-of-social-work,1,masters,13
3467,msu-broad-school-of-business,1,masters,13
3467,michigan-state-university-online,1,masters,13
3477,tufts-university-school-of-medicine,1,masters,13
3479,tufts-university-school-of-medicine,1,masters,13
3481,tufts-university-school-of-medicine,1,masters,13
3483,tufts-university-school-of-medicine,1,masters,13
3487,university-of-nevada-reno,1,masters,13
3491,lamar-university-foundsm,1,masters,13
3511,syracuse-university-school-of-information-studies-ischool,1,masters,13
3531,marymount-university,1,masters,13
3543,campbellsville-university,1,masters,13
3547,concordia-university-st-paul,1,masters,13
3551,george-mason-university,1,masters,13
3553,notre-dame-college,1,masters,13
3557,university-of-west-florida,1,masters,13
3559,utica-college,1,masters,13
3563,university-of-saint-mary,1,masters,13
3569,rice-university-jones-graduate-school-of-business,1,masters,13
3577,wake-forest-university,1,masters,13
3579,wake-forest-university,1,masters,13
3583,northern-kentucky-university,1,masters,13
3585,university-of-southern-california-online,1,masters,13
3591,wilkes-university,1,masters,13
3599,alvernia-university,1,masters,13
3601,bethel-university,1,masters,13
3605,calvin-university,1,masters,13
3609,dyouville-college,1,masters,13
3611,drake-university,1,masters,13
3619,east-central-university,1,masters,13
3623,eastern-oregon-university,1,masters,13
3625,fairleigh-dickinson-university,1,masters,13
3629,greenville-university,1,masters,13
3633,husson-university,1,masters,13
3639,king-university,1,masters,13
3647,lindenwood-university,1,masters,13
3651,notre-dame-of-maryland-university,1,masters,13
3655,point-university,1,masters,13
3659,st-ambrose-university,1,masters,13
3663,shawnee-state-university,1,masters,13
3669,the-university-of-iowa,1,masters,13
3673,virginia-wesleyan-university,1,masters,13
3681,psychology-pepperdine,1,masters,13
3683,psychology-pepperdine,1,masters,13
3685,psychology-pepperdine,1,masters,13
809,simmons-university-mph,1,masters,13
837,george-washington-university,1,masters,13
876,arizona-state-university,1,masters,13
879,georgetown-university,1,masters,13
957,northwestern-university,1,masters,13
962,herzing-university,1,masters,13
965,capella-university,1,masters,13
967,ohio-university,1,masters,13
969,johns-hopkins-university,1,masters,13
970,northeastern-university,1,masters,13
977,maryville-university,1,masters,13
980,southern-new-hampshire-university,1,masters,13
985,university-of-delaware,1,masters,13
987,syracuse-university,1,masters,13
989,university-of-north-carolina,1,masters,13
991,simmons-university,1,masters,13
992,george-washington-university,1,masters,13
993,florida-tech,1,masters,13
994,university-of-delaware,1,masters,13
995,lewis-university,1,masters,13
996,simmons-university-school-of-nursing,1,masters,13
997,syracuse-university,1,masters,13
1068,utica-college,1,doctorate,14
1292,vanderbilt-university,1,doctorate,14
